,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
0,block,0,0.002,1461.2974130396844,-4.763527298985028,-4.774081179509766,-0.012661369716146067,-12.878280050156592,-25.623987422896846,-5.5502182612219055
1,block,0,0.004,341.6439711586388,0.4912536751071862,0.40583903534538046,-0.015534829769596798,-6.685834711622971,-19.30656183857088,0.38967490119356263
2,block,0,0.006,166.19154050867948,2.727405765520254,2.784879206364187,0.025470674545324458,-3.6315912066570046,-16.172846870936443,3.006020753343606
3,block,0,0.008,94.40496342011217,3.977566674423259,3.8567483530169744,0.07667277832202304,-1.2976353457130712,-13.787616962043284,4.429752297634896
4,block,0,0.01,56.34077028992006,4.751025956576292,4.20723867962303,0.22030351716437396,0.7921116609743482,-11.511474999087374,5.060360563979916
5,block,1,0.002,45904.3216387437,6.580304732601019,-4.719898231365578,0.0004131038294899514,-32.23547437143026,-34.15973969728427,-10.705508953062854
6,block,1,0.004,11658.85860150884,5.367821574756274,0.024487195523548583,0.0028821144621105892,-26.285466843203405,-28.20748348469388,-4.959870933286285
7,block,1,0.006,4669.990057630483,5.278925918415865,2.3076868101902805,0.012147749329059855,-22.31383293857291,-24.235155412704113,-1.2951182220611732
8,block,1,0.008,3056.0171474764547,6.112846888569044,3.215491219167514,0.023325185415823062,-20.474505722805766,-22.393881176050073,0.3152138406482182
9,block,1,0.01,1852.57913235633,7.846143856925071,5.1895593681383065,0.06715878114764008,-18.303181060957293,-20.22010182319873,3.1610541041394398
10,block,2,0.002,32912.9443728458,6.274721835377881,0.12024782552184733,0.0009700514500764727,-18.157615774200362,-35.142831836919925,-9.662184633487678
11,block,2,0.004,6974.290573082954,6.116277936345014,3.9604726167291924,0.0029761469887060366,-11.428774125649262,-28.420308036229326,-1.422199913671343
12,block,2,0.006,3529.5745594505665,5.880731339947694,4.271969155706528,0.013437753720027118,-8.550098197066617,-25.453133966636678,-0.5205867053265034
13,block,2,0.008,1997.7130898352311,6.674287807626382,5.522173014237542,0.02419289252843105,-6.1164878845016135,-23.049095315872407,1.6118578919901274
14,block,2,0.01,1142.3672439853808,5.68014101156378,5.139135817840051,0.0357173493091062,-3.818979383389278,-20.547156998129022,3.152676325016714
15,block,3,0.002,26718.33833085801,5.597635719835266,-5.544430009402626,0.003978646836648058,-19.51303195406561,-26.53850272572694,-7.738641934252381
