,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
0,block,0,0.002,1496.9238260983445,-48.212308763500296,-47.94345914184266,-73.44787557025032,-40.86585253907948,-28.36878239331029,-47.519714464129464
1,block,0,0.004,379.3010808495612,-46.148564885340704,-46.15100444554275,-66.72665484894426,-40.27074582250721,-28.346325439748146,-45.81128982502819
2,block,0,0.006,161.1976495638412,-43.7260199117517,-43.98695432706087,-60.21950388175185,-39.355654973363485,-28.20740817818761,-43.2889774177056
3,block,0,0.008,88.08278456047249,-41.522580346032896,-41.933158012758255,-55.14889335211424,-38.61524328326838,-28.232666296740128,-41.39546860241542
4,block,0,0.01,55.79418117226157,-39.8791648354997,-40.002440946679265,-51.793905838924196,-37.61139819551396,-28.047359094470686,-39.82899986081273
5,block,1,0.002,48805.56569979175,-55.14163585892032,-48.46358282783095,-93.54966788653442,-21.63392136664715,-19.705930885517546,-42.875706868297726
6,block,1,0.004,11366.171014364572,-48.85634842025242,-46.07622055825783,-79.54743625857041,-21.612728385828156,-19.684509362990234,-42.184905869647615
7,block,1,0.006,5280.844786902429,-45.65807396849762,-44.035974435223594,-71.93274323573826,-21.597874908272757,-19.686632463605815,-41.03007487575158
8,block,1,0.008,2988.7559844674097,-43.00097181392883,-42.07418491166688,-64.26619821311041,-21.594359382916526,-19.700559185324714,-39.91658199285133
9,block,1,0.01,1957.475127538947,-40.72017087922154,-40.46380452037005,-57.869645269034315,-21.52728361256564,-19.619050519088482,-38.87352937221127
10,block,2,0.002,32418.463712179575,-55.268757589099536,-52.70580436692022,-93.4324753362562,-36.19754887985769,-19.250285027894797,-46.32458211150626
11,block,2,0.004,7168.073921240083,-48.930196711805394,-47.99996503653504,-79.35974701430702,-35.85726323750833,-19.22017397399211,-44.39159557822663
12,block,2,0.006,3258.2904090878287,-45.35061999794315,-44.86020034473882,-71.42504846991017,-35.6486690794402,-19.218289105323635,-42.20719505852217
13,block,2,0.008,1823.4004560407157,-42.800373565760275,-42.68923084633617,-65.53923348127054,-35.12854137202159,-19.20703197803694,-40.701130302595665
14,block,2,0.01,1153.4429548355781,-40.582024099415335,-40.49964805815919,-58.9753097373844,-34.68152854325637,-19.120096182329,-39.46420737283583
15,block,3,0.002,29382.339171101405,-55.98106271725793,-47.94275350686506,-86.2369600643571,-34.39567009044695,-27.461566416922544,-45.914054970451936
16,block,3,0.004,6942.507946215236,-48.74083479884631,-45.21559618567461,-65.46984122473964,-34.32169293363496,-27.424032343588745,-44.30542042258751
17,block,3,0.006,2692.2208222575864,-44.99657355899299,-42.91474168188088,-57.342432162866174,-35.84766101193627,-27.380210513930976,-42.225780570244225
18,block,3,0.008,1698.1156711089516,-42.74129642133908,-41.25805264178621,-52.0735757587732,-35.57083706923602,-27.342081889920422,-40.80757970067619
19,block,3,0.01,1046.8784060079852,-40.41682231618158,-39.816662202332324,-46.32523932604084,-33.99637641267778,-27.227667966545145,-39.56291738305971
20,block,4,0.002,29816.193320341317,-55.564761884426794,-55.470808306743955,-86.75095068929879,-37.58541848478895,-28.04300290418324,-45.83217937526505
21,block,4,0.004,7250.007573866399,-48.90427054999475,-49.08155409867702,-69.86182387720974,-37.189531013737934,-28.050432846634187,-44.727887535554714
22,block,4,0.006,3064.9736155965907,-45.02054773054067,-45.407515180732375,-60.388894225923565,-36.91895329997462,-27.993686389712998,-42.622404210882515
23,block,4,0.008,1709.2909522153439,-43.101388183857466,-43.070386672994694,-56.857876168909414,-36.27024237017317,-27.93041701883969,-40.796573377956534
24,block,4,0.01,1105.7988913073364,-40.85958863923905,-40.764843609357825,-52.24555434302343,-35.64855493745376,-27.720670634253285,-39.35178133467458
25,block,5,0.002,18141.498011265026,-55.35972475415175,-43.585897467161814,-83.73747000685327,-25.574740346601416,-24.635326957285262,-43.287149346402984
26,block,5,0.004,4454.590777296451,-49.06047736315732,-42.734945091248846,-70.27896458950755,-25.55859777023168,-24.62927083750843,-42.637988668531655
27,block,5,0.006,2018.9404088351337,-45.46356280545148,-41.46038785724698,-59.87766320229245,-25.512192209132646,-24.593572418359116,-41.34415360405467
