,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
0,block,0,0.001,5534.751380493765,6.629830333950968,5.895792140839081,0.00025416168324348326,-17.817252633819326,-31.333917063765284,1.2948886401481392
1,block,0,0.002,1494.683725565149,6.9872011465138675,6.345048073894935,0.001799552352532183,-12.155326828418524,-25.662852908079408,5.208922089596829
2,block,0,0.003,657.3847267236878,7.311758347016072,6.4500631889717095,0.00698800036978092,-8.59978216382426,-22.08030561211338,7.0732367055830005
3,block,0,0.004,394.0660243258641,5.4384774420958575,5.251897782697682,0.008041817456732523,-6.460162224070586,-19.846114030935347,7.872458534336698
4,block,0,0.005,233.9848981037935,6.731528089592638,7.173425300027091,0.02621829312863793,-4.259776001888135,-17.62869850534083,7.631433222018899
5,block,0,0.006,173.62302754464213,6.7335398338845565,6.374355092334797,0.038905530816329324,-2.97857269400866,-16.305835110620336,7.524522043895421
6,block,0,0.007,117.69383287711602,6.8352966676281754,6.276196410144936,0.0770759337018018,-1.4426301228388563,-14.620400257700037,8.588205279242441
7,block,0,0.008,92.4034815877757,6.67695291833005,6.380003261949456,0.08250417622834398,-0.47977028393584376,-13.554476535799807,9.80574728502826
8,block,0,0.009000000000000001,71.96663871488394,7.103566756443602,7.037082217613878,0.16242511584310518,0.6671688489110492,-12.54396289680904,8.146994228624088
9,block,0,0.01,57.510442587835655,8.287390814350044,7.531775377343216,0.3863093014209259,1.388683410442949,-11.54193237108757,8.900144008403661
10,block,1,0.001,196874.2639676583,7.12433738020343,-10.813904943497828,5.5960508070869704e-05,-38.55773877029141,-40.48217484839233,-16.9926511280168
11,block,1,0.002,46381.266605163044,5.054045380717317,-4.893231215524431,0.0004741050933712577,-32.278715443682216,-34.203328518371265,-10.761687263214634
12,block,1,0.003,21066.755966347413,5.67148385236222,-1.8839567442247986,0.001659877323309392,-28.852209148038558,-30.776052897188862,-7.374094578442701
13,block,1,0.004,11515.000705588438,5.6492839229435265,0.14073831497244277,0.003076736845970397,-26.230044303687123,-28.153154724018847,-4.857578129075235
14,block,1,0.005,7736.052578489934,6.174303590804213,1.4807827815133858,0.00513801331503678,-24.503922091081208,-26.42646812176485,-3.2242175998119462
15,block,1,0.006,5516.435857017828,6.002387775491106,2.2532129768078106,0.01992386977545782,-23.038182751311073,-24.95881847505338,-1.8633903647454328
16,block,1,0.007,3985.4603316328803,7.456370471199499,3.3431547453893,0.030548246633295327,-21.625530261846933,-23.54611857596812,-0.5199289397913036
17,block,1,0.008,2925.404566203709,6.902679861699877,3.910071281154122,0.03380663629637051,-20.284840439217998,-22.203423977278284,0.5076876355319203
18,block,1,0.009000000000000001,2205.6202913430693,6.073153733575317,3.974542886932153,0.05041791548868555,-20.640091025874447,-20.97874891813353,1.6024231844767312
19,block,1,0.01,1905.1208310393636,7.031192497204327,4.455156985399129,0.04485514695168513,-18.42602171618809,-20.34330701606614,2.094031117340975
20,block,2,0.001,125346.45135845628,6.346915267156179,-4.670892822441431,6.179401845933627e-05,-23.97135623139271,-40.952499629297925,-15.420012447484075
21,block,2,0.002,31014.350611444224,7.316899629645109,0.7197850601324057,0.0004970771629254135,-17.914305066191144,-34.88693320311603,-9.406589177253139
22,block,2,0.003,12711.78740999435,7.065742093309861,3.1610970896235004,0.0012646151104828997,-14.053059743553458,-31.013642133159234,-5.67410277022168
23,block,2,0.004,7604.55189460026,6.196563500455002,4.170063866326242,0.0024763318491678016,-11.826888057056678,-28.782543031609702,-1.894482336011619
24,block,2,0.005,4751.0822056956085,4.8325537340964875,3.686867305274787,0.003057008525878739,-9.877837911490923,-26.742685345297975,-1.743740425169493
25,block,2,0.006,3351.735449883234,6.37104784751234,5.059957267653435,0.010188230998695723,-8.334240362420664,-25.22326710959133,-0.32094971273783135
26,block,2,0.007,2316.1196072038574,5.82909437201501,4.9054156400556,0.016624107465787703,-6.829194874539515,-23.625187855827186,0.7288895143846896
27,block,2,0.008,1746.187074531026,7.359079637588389,6.469181937798232,0.034523211804468636,-5.453215028380773,-22.465752065626244,3.0029346050439636
28,block,2,0.009000000000000001,1561.1382637104236,6.916659538470215,5.2546924223941724,0.04050866223170123,-5.158961087012136,-21.91208281891342,3.7505803131421662
29,block,2,0.01,1302.3515639633472,5.580217851262425,5.862090296774623,0.02778943779827321,-4.338881704134443,-21.12980891552808,4.199438933327386
30,block,3,0.001,102079.76943087419,6.349152987035187,-11.124060269019198,0.0005062257713615691,-25.325329427435936,-32.35949274965276,-13.388535862312017
31,block,3,0.002,24853.550640234356,5.857898771809017,-6.3021323174271,0.008200602366940743,-19.241875743110327,-26.22675553723643,-9.400737588744848
32,block,3,0.003,12167.33994387046,5.976058128026814,-3.3247799894925842,0.03353575041633867,-16.111061133333664,-23.122445500598925,-4.328977260872742
33,block,3,0.004,6490.047285278354,5.514851605191209,-0.30373792139758615,0.07421215007829358,-14.192028157339493,-20.394748534296937,-1.7683427337629247
34,block,3,0.005,4278.004808454039,6.195481654180334,0.5187932147525676,0.16043304513024018,-9.079169869838616,-18.590049517259327,-0.3681528335149503
35,block,3,0.006,2753.174420527234,6.044412936280088,2.198283014115174,0.21497124995944206,-9.737678141327802,-16.67267877645716,1.4795482638333157
36,block,3,0.007,2226.10411506114,4.7227531761234385,2.062443444164323,0.2185848896434724,-9.738433977290693,-15.762486873942315,0.06432516428351921
37,block,3,0.008,1614.754155551213,4.84961176804246,2.37113467287346,0.43512931150692213,-4.768637266155469,-14.372937010525273,1.427341670520013
38,block,3,0.009000000000000001,1212.4058015060675,6.1025344442144664,3.1863846392426836,0.8352015253570899,-6.393489783944414,-13.124502010827374,3.3305825464203487
39,block,3,0.01,1081.1338317491713,5.344748519085389,3.6532314684522147,0.46770127278785373,-5.912540556354785,-12.630621411059336,3.6277132070389406
40,block,4,0.001,105566.94936544179,5.651966249546537,5.416969149205623,0.0003813124725342395,-22.157280118936317,-31.76983195086228,-13.264943237495142
41,block,4,0.002,26708.47585874527,5.313460584037625,5.2150902751839245,0.003103978420157102,-16.214103291288982,-25.801647914854613,-7.444299262426534
42,block,4,0.003,12505.901891728116,5.2961531126132915,5.311204814297791,0.007616897642986939,-12.950183163055385,-22.50626788657501,-4.179224568795536
43,block,4,0.004,6725.73712146822,5.662361990658212,5.467747726558178,0.021041019836508783,-10.292887732333602,-19.812530307423724,-1.7392316884924455
44,block,4,0.005,4522.179791126415,5.338604429844514,4.6425643924191995,0.043597993858032466,-8.879710628697728,-18.03799541856518,-0.20957328556367816
45,block,4,0.006,2977.4031933721267,5.963363698710485,5.754004224487424,0.1313082301288074,-5.645658006446341,-16.220911284556195,1.4075363711110065
46,block,4,0.007,2327.2861768381676,5.6422472462335,5.4122050751554704,0.15433760897632431,-5.866795322043441,-15.209713380066558,1.750370430526774
47,block,4,0.008,1747.6047521930823,6.094389312045654,5.53835211955178,0.210794074190311,-4.6424513993832095,-13.978097388729436,3.3711668359550497
48,block,4,0.009000000000000001,1332.6590253620461,5.2266041706680415,5.023392275189547,0.32395046327357246,-3.6599056439696382,-11.299409243805385,3.566896216925899
49,block,4,0.01,1128.0634259850315,5.218651450035743,4.561627976646347,0.26032848225991245,-3.1932163966660534,-12.027874710039704,4.004700704234766
50,block,5,0.001,75604.93642837772,5.334818099700916,-16.504634937585976,0.0012892194851345453,-34.57985641232832,-35.524593715527075,-16.368207028364274
51,block,5,0.002,18613.44742203738,3.973899473575069,-10.543255789599655,0.005671433732815531,-28.495657577010416,-29.422368800849302,-10.36494612628836
52,block,5,0.003,8518.981747490687,4.668166941517121,-7.092737052633833,0.01651932963337153,-25.11148886607492,-26.027361625612656,-6.930811412005966
53,block,5,0.004,4501.059598129825,5.223851115281559,-4.738454017986349,0.04848506304818814,-22.348580071038725,-23.238054131108807,-4.30975184528293
54,block,5,0.005,3165.982458933398,4.603373251791339,-3.4802108295131,0.07487570784106794,-20.818178825684267,-21.747890296572464,-3.1221022044552327
55,block,5,0.006,2129.3829220830057,4.20517026873122,-2.2305999965020358,0.10393815288165897,-19.10972688357545,-20.011575416157225,-1.6988173138213736
56,block,5,0.007,1436.395016929646,4.14162239070594,-0.8348629510002927,0.20678082349478186,-17.404884657339768,-18.31500230709875,-0.043041846029133475
57,block,5,0.008,1100.409800102401,4.947212051575017,0.16997120174956556,0.276008530414135,-16.245053066488357,-17.165564475051937,0.6077088480538058
58,block,5,0.009000000000000001,858.2894447554247,4.0515120108427665,0.5495454733590599,0.4551946494321345,-15.184081184828361,-16.08622960668748,1.2305006873204947
59,block,5,0.01,678.9120667788948,4.300570910859181,1.1323908282097241,0.44976569923720006,-14.17565884392426,-15.140979010471378,1.2794378589389694
60,block,6,0.001,47920.41484624047,4.9400780477940955,-20.84640190964865,0.0004704183276751163,-34.385693909942106,-36.076019381863304,-19.873668527519733
61,block,6,0.002,12770.623652749373,4.549817198942817,-15.121758486795777,0.0025525697043742913,-28.616040225013286,-30.33168226409068,-14.156676205284382
62,block,6,0.003,5130.778109508909,4.4524284073003235,-11.643688439723359,0.007033551810158197,-21.569036668006664,-26.370578839405677,-10.197541100368724
63,block,6,0.004,3191.8633478096385,4.005569665059784,-10.365263293542332,0.0135973240262647,-22.598157785152,-24.31443963760242,-7.7959791873456075
64,block,6,0.005,1919.6961734694455,4.578085689802548,-9.448604732466162,0.03755766345358239,-20.42533317558467,-22.10321643804823,-5.925268231358398
65,block,6,0.006,1280.5437668166903,4.24125893840608,-5.892811599262854,0.04741826916677035,-15.573194915696675,-20.34628002029398,-4.311098944602642
66,block,6,0.007,935.4917216973455,4.6939137168727605,-6.567890332010524,0.08985129297907332,-17.298669315475333,-18.984912348169445,-2.9004078454905926
67,block,6,0.008,798.5013018650582,4.513191280269538,-5.377570636030439,0.17279689583224667,-16.605948125036125,-18.32270213501845,-2.519684180616007
68,block,6,0.009000000000000001,597.5796347965371,3.9917261981177887,-5.893949752362696,0.3787992172425181,-15.3684502917809,-17.03973656532845,-0.8474335293013038
69,block,6,0.01,501.48143580523976,4.811296608230004,-3.2022833688523034,0.25585697773293586,-14.371649739011668,-16.30466938767596,-0.563779766317541
70,block,7,0.001,108727.3518773492,3.949802469580361,-19.656822425470132,0.00024643936741689545,-39.016076384760055,-41.08660603530403,-23.492779067706337
71,block,7,0.002,24766.780501522342,4.450023036347709,-13.276034543123883,0.001246530049179523,-32.641746059455215,-34.66197885516031,-17.096704086319228
72,block,7,0.003,12009.420319534687,4.911348049456264,-10.188312709283673,0.005290571828245983,-29.450615969780248,-31.522737981231504,-13.675380753641626
73,block,7,0.004,6121.458859538622,4.245563457250922,-7.469573008155442,0.004613541968610317,-26.52617247580883,-28.592182444502182,-11.07116733298232
74,block,7,0.005,4516.591178184303,4.490771825630809,-6.238371006236819,0.012503837098677563,-25.20640069033998,-27.279341073949134,-9.870148947821825
75,block,7,0.006,2910.187204282895,4.1736010549474525,-4.475344661563266,0.03295146054615374,-23.43117538256063,-25.376347228078092,-8.341094789906043
76,block,7,0.007,2370.517568230659,4.416977719436791,-3.8084166429081048,0.03324643617414752,-22.466794422651965,-24.481912665107664,-7.768940600114647
77,block,7,0.008,1661.9233665468823,3.922163525144996,-2.6505098675643888,0.06648641993989007,-21.003252015836456,-22.93530798865524,-5.717999601631771
78,block,7,0.009000000000000001,1376.4865056005629,3.5907983933973027,-1.9308231210983422,0.07566705260986176,-20.059515660699475,-22.121228417378425,-4.874952141196832
79,block,7,0.01,1026.9538584409152,4.148536981656274,-1.2175155737868695,0.17851922834159278,-18.94613099311387,-20.86719969074016,-4.218473039601475
80,block,8,0.001,32976.3282215083,4.0603888849195355,-24.366170639452104,0.001439717679623206,-32.697133317668474,-34.872909923479185,-20.130081446703105
81,block,8,0.002,7765.3688795663065,3.888842937168955,-18.108500191838427,0.004297742409325407,-26.604806255662684,-28.60329664322794,-13.720058715842853
82,block,8,0.003,3527.565268075165,4.293829020575931,-13.728484881965816,0.022401932170683144,-23.182493655036435,-25.160892874225777,-9.592920696466226
83,block,8,0.004,1882.7296064890106,4.487481196461466,-12.00749898749346,0.048616871552863275,-20.474677320103275,-22.466229487763137,-7.383976683806442
84,block,8,0.005,1270.9483721016948,4.033188362840804,-9.431236004693917,0.05173134834374206,-18.845638030009386,-20.75494012677374,-6.010428081050354
85,block,8,0.006,856.1030558965682,3.763127949822425,-8.730881809033345,0.07944331379716063,-16.883477804124052,-19.02657549120586,-4.525179781589232
86,block,8,0.007,594.0867973635552,4.018026320460583,-7.188312554559115,0.18641672978063267,-15.913459004356119,-17.385678531239247,-2.7532054133038657
87,block,8,0.008,491.00714130772815,4.0714955852612675,-5.642880498904381,0.20266007384619483,-14.744507002240681,-16.65990814159372,-2.436928398238648
88,block,8,0.009000000000000001,377.62330651745845,3.7297942262317,-5.6359437111187685,0.29855051024655477,-13.47954181651893,-15.416668474407976,-1.2499138139953978
89,block,8,0.01,316.17185727484156,4.745671478121128,-4.797021437073874,0.615131405331074,-12.793053508149422,-14.711969138626014,-0.4825761311441349
90,block,9,0.001,114902.89471353363,4.626244334590174,-12.198088305900862,2.235600099854103e-06,-28.874336267989893,-33.36539653384876,-19.373155952972386
91,block,9,0.002,31079.849868520287,4.404855001992888,-6.85953009613327,0.0042621535212087535,-23.199421859015324,-27.68309306570579,-13.606577378946017
92,block,9,0.003,14011.624978591015,3.986975455837969,-3.7380536238656896,0.0013873411167555634,-19.747369468087093,-24.21714152397395,-10.280047886791746
93,block,9,0.004,7549.214260934934,4.267285377440568,-1.567512753478641,0.03963363639746105,-17.090030320132524,-21.561193949664887,-7.552906286444268
94,block,9,0.005,5059.299841925375,4.041895952629111,-0.5209865589475039,0.04268662523517691,-15.372210848204187,-19.81373800120763,-5.634377876181633
95,block,9,0.006,3661.5073863128077,4.6084495129082566,0.4377694147222772,0.09357750361041381,-13.944434660001301,-18.399972889249955,-4.786099805542018
96,block,9,0.007,2611.549435156218,4.065001936614527,0.8210836634090397,0.09054157391829236,-12.594659729359094,-16.96382235327883,-3.9337039257894335
97,block,9,0.008,1980.4393360963363,3.6513830742115054,1.4099712121480925,0.170201813791781,-11.347101400786084,-15.754388373674779,-2.4040774282929087
98,block,9,0.009000000000000001,1691.7226887503411,4.5722221207112534,2.0228384827466632,0.4835380297548607,-10.664836846872907,-15.08680115184302,-1.2752951434869755
99,block,9,0.01,1284.1749547860911,3.8308491291836777,2.652334397408291,0.307316083510912,-9.581324599881277,-13.9036449242976,-1.4302052928366882
100,bump,0,0.001,7917.780980329951,6.186714706320569,5.896169998118675,0.030404237298550636,-22.771944190815375,-32.248787814238604,-7.9998634069164885
101,bump,0,0.002,2006.2193439286061,8.01213021238642,7.11032903203232,0.2635870648920088,-16.81438056295959,-26.286783945228628,-2.2255475305028964
102,bump,0,0.003,883.6313478715815,7.15950509904546,6.324241974184739,1.0205812326212924,-13.276028498131272,-22.7275739186154,1.929790442578076
103,bump,0,0.004,513.2050434532067,7.200665106157428,6.661575197252633,1.6136199100352986,-10.91207994960116,-20.367634046572753,2.843133508386578
104,bump,0,0.005,312.4757803934064,8.85544516918879,8.10383672286257,1.6552299878642576,-8.749337583072224,-18.212768554558128,4.280006325331662
105,bump,0,0.006,217.4056189045633,6.6271371837332,6.635549610033883,1.2062519589373104,-7.256080289394714,-16.6449536453111,5.911392805360512
106,bump,0,0.007,146.305289826536,7.337429130493543,6.732391554183122,2.793340873023165,-5.535141577919481,-14.92875945992356,5.668590197588383
107,bump,0,0.008,130.12670249264514,6.584095530351641,5.662678186036112,2.5021954008362717,-5.0076693877300835,-14.410717517456494,5.890213659452278
108,bump,0,0.009000000000000001,95.25688209190275,7.460735388653038,7.322209548761963,3.027802663335848,-3.789836387818211,-13.07749811598876,7.138817787747467
109,bump,0,0.01,76.47817182051617,6.526126186363238,6.378892277134151,3.1570751162559754,9.934924952417866,-12.110673254208919,5.194721350355843
110,bump,1,0.001,9803.40361618317,7.184427504485296,6.295584313667685,0.0018542816763828472,8.183575654231745,-36.71371786149454,-13.280270912800017
111,bump,1,0.002,2695.4616877827816,5.984971459482203,5.984106342239163,0.018405033477685753,7.02774245212048,-31.10638762714947,-7.746691778715161
112,bump,1,0.003,1205.8941448771504,6.106078026818339,6.355699093064794,0.04199754523942488,7.206128451817899,-27.611022893824583,-4.360107860513574
113,bump,1,0.004,698.6754920386018,6.205869922940445,6.541800220686458,0.08372849862776462,8.358110157036222,-25.243181623094458,-1.5134147343321867
114,bump,1,0.005,510.900318203602,6.919581178875296,6.6460978278593466,0.12540760439807952,8.42648321899126,-23.88382872578684,-0.7856657945722194
115,bump,1,0.006,313.36142541128487,5.8645555327462695,6.16467677110399,0.245921973383056,8.195999514284171,-21.76137573265717,0.9032175068877696
116,bump,1,0.007,205.61039532662042,7.494685837570042,6.357861004549495,0.7053407054102929,9.146877954124236,-19.934438138690087,2.6465444513559087
117,bump,1,0.008,179.90184181756334,6.111845399295149,5.52165259402564,0.5539686643657656,8.96881817679127,-19.324804954832548,2.821636007389304
118,bump,1,0.009000000000000001,132.93512801231665,6.695478228184722,6.312251632671001,1.4008898784215542,7.738908486783474,-18.041694377876148,3.1876265909831747
