,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
39,NSR,7,0.01,39545181.842773065,-39.157028616943684,-33.22238172077479,-29.980947155893247,-68.50638851924131,-73.95361788467297,-58.74202626107679
40,NSR,8,0.002,1156977048.041418,-53.55968551160706,-45.096881077590474,-44.18242249304487,-81.96259010325264,-89.76093514403593,-73.326558321211
41,NSR,8,0.004,246797908.96344072,-46.84986876444674,-38.28603153967468,-37.12849958178974,-75.25276447435176,-83.05110344631244,-66.61673015606834
42,NSR,8,0.006,113108917.88390192,-43.461449003252895,-34.9314183487783,-33.84036146063724,-71.86430814875064,-79.66265535862544,-63.22827766332567
43,NSR,8,0.008,63040437.84495758,-40.92273457163404,-32.4449353049129,-31.303098155123863,-69.32553673071375,-77.12388147563273,-60.68950866484946
44,NSR,8,0.01,40756036.09957252,-39.02863250698728,-30.39272848596857,-29.556432231969787,-67.43129091511541,-75.22961278508933,-58.795241415428464
45,NSR,9,0.002,306927396.1792433,-54.174655442731236,-44.61656429670448,-52.10562109298387,-79.13599388685545,-82.9263744629631,-67.95190330598726
46,NSR,9,0.004,74632422.4526104,-48.06152141458722,-38.475804874170464,-46.09400994997956,-72.9949145962943,-76.78529407726442,-61.8108230052237
47,NSR,9,0.006,34038686.15280209,-44.624057427435424,-33.77295760580689,-42.684535867580855,-69.58535824065089,-73.37574287203238,-58.40127484514812
48,NSR,9,0.008,19265490.81709954,-42.152164380252046,-32.50802391728469,-39.97162275436066,-67.11345119713557,-70.9038241363295,-55.929350429178896
49,NSR,9,0.01,11396530.265521893,-39.90005504356374,-29.42602548792639,-37.80333002778047,-64.8333646668929,-68.62374472971943,-53.64927602924007
50,APB,0,0.002,1898571966.1364355,-53.77463691700551,-51.334631940709876,-51.894346901803125,-87.70742159571405,-87.83918967010922,-70.1681821950613
51,APB,0,0.004,457970396.06230474,-47.59878392823574,-45.222377854582376,-45.7184790320176,-81.53152077976841,-81.66328903258433,-63.99226787729913
52,APB,0,0.006,191903401.5655023,-43.82130101327238,-39.473569364722366,-41.940951896904856,-77.75398290941885,-77.88575086797576,-60.21470214059764
53,APB,0,0.008,113631004.85401034,-41.51448246374472,-37.16290626179557,-39.66517489841746,-75.4781335085251,-75.60990122950827,-57.93881258899354
54,APB,0,0.01,66650785.141343705,-39.22886471022806,-34.75114428310925,-37.35060132917838,-73.16118000641265,-73.29294886053665,-55.62202885316644
55,APB,1,0.002,1732247700.8154144,-53.44226046922326,-45.33281756350008,-51.7565099730479,-87.08704454390535,-88.65415598962713,-65.66514038502552
56,APB,1,0.004,399176686.43344617,-47.067822028429134,-39.89224374341424,-45.38210154040325,-80.71259721960737,-82.27970838336125,-59.290717065141514
57,APB,1,0.006,179055502.31975952,-43.58603061224991,-36.321251274372884,-41.900402497743876,-77.230822876506,-78.79793385329663,-55.80898807186245
58,APB,1,0.008,92526656.12800002,-40.60391962468848,-33.60203925703944,-39.030666565037635,-74.36360715592328,-75.93072045881227,-52.941765555755325
59,APB,1,0.01,65372785.046520025,-39.21014570076665,-31.12046100008174,-37.52465850125836,-72.85491733728315,-74.42202793013678,-51.43306073940697
60,APB,2,0.002,1878824703.3742573,-53.145713390383584,-50.73915023771795,-51.44014597112307,-87.45460576316374,-88.55772672512526,-70.45858472883421
61,APB,2,0.004,499374034.8883871,-47.39118568601225,-44.98461188055629,-45.6856272182992,-81.70000048943956,-82.8031229186371,-64.7039924231086
62,APB,2,0.006,215161629.50135115,-43.7056096299953,-41.328052824505164,-42.02903068821421,-78.04339182222594,-79.1465125813051,-61.04737163029823
63,APB,2,0.008,128945172.72610681,-41.51116288906934,-39.055827174978404,-39.89582541426795,-75.81979240734984,-76.92291093651897,-58.82373776646726
64,APB,2,0.01,77222047.77323854,-39.284437709768156,-36.92158054798816,-37.669343950803686,-73.59315257632284,-74.69627520656432,-56.597127881470335
65,APB,3,0.002,1760499007.1256475,-53.34885878876315,-48.427450297379984,-51.613001179584195,-87.69594933624667,-88.23325864107771,-70.98647777209054
66,APB,3,0.004,449696540.27006066,-47.39110269564064,-42.50037257990716,-45.685881991723235,-81.76878795609169,-82.30609714391494,-65.0593296410349
67,APB,3,0.006,206600859.00079724,-44.043807247879975,-39.122673948934526,-42.311610169078946,-78.39090671880061,-78.92821671921163,-61.681451426544015
68,APB,3,0.008,111671922.49398275,-41.37169753725473,-36.59697158676978,-39.63983750392498,-75.7190172592081,-76.25632820851636,-59.009560767116646
69,APB,3,0.01,76166991.00900939,-39.67929418758437,-34.82242070216892,-37.97454858072083,-74.05723570458767,-74.5945631602294,-57.347801183868505
70,APB,4,0.002,1811967918.103769,-53.69947207199986,-48.67890512792903,-51.881537334319894,-88.12877407130564,-88.9650642987969,-67.05907365507929
71,APB,4,0.004,435779285.95008945,-47.5106631625338,-42.49014150771149,-45.696192938245936,-81.93993375003626,-82.7762241714786,-60.87024315384005
72,APB,4,0.006,184737253.5255517,-43.72440831174923,-38.73042606765951,-41.96241274312185,-78.21281416860212,-79.04910433971901,-57.1430989015261
73,APB,4,0.008,106421388.71411939,-41.35871109049507,-36.39937062062475,-39.57046548298985,-75.81755519261087,-76.65384595307226,-54.74787344039672
74,APB,4,0.01,69927968.97992048,-39.56464544724711,-34.48243709472989,-37.753783015960664,-73.99377881923009,-74.83006893045065,-52.92407796105404
75,APB,5,0.002,1959019090.7520933,-53.144908372850225,-50.57544049009234,-51.47623199855594,-89.28702951305488,-89.65762879773501,-68.76737484782583
76,APB,5,0.004,464028673.58260655,-46.88993170121182,-44.320553098704885,-45.22133235052422,-83.0320909174446,-83.4026902087758,-62.51243998647502
77,APB,5,0.006,223793249.62121704,-43.72288691718467,-41.201134263798345,-42.05462122845431,-79.86511412926468,-80.23571329357038,-59.34547028601378
78,APB,5,0.008,116047601.41204709,-40.87117233818062,-38.250557694113255,-39.194997277839875,-77.01300413317186,-77.3836034468896,-56.49336261679786
79,APB,5,0.01,77667000.59606627,-39.127277723582715,-36.64554413157213,-37.466293569830526,-75.2690042891935,-75.63960388938456,-54.749307813700064
80,APB,6,0.002,1781086693.484282,-53.24181427072939,-49.9326451576386,-51.65017031145603,-89.31414681286009,-89.51236132795749,-68.79405447874917
81,APB,6,0.004,486359135.76216197,-47.63336620237469,-43.65269159828277,-46.01291398378286,-83.67686772615824,-83.87508220875633,-63.074487170447746
82,APB,6,0.006,220979240.80541924,-44.20737572342625,-40.869411064856244,-42.59070765241427,-80.25081559310962,-80.44902990251352,-59.64845621525797
83,APB,6,0.008,112509438.22712429,-41.24681422226085,-37.256336897499004,-39.65176681872482,-77.31920589899521,-77.51738932387124,-56.79906240938304
84,APB,6,0.01,76965663.05633754,-39.597799345674716,-36.32863145383069,-37.90599154522114,-75.67026816065118,-75.86848259515439,-55.06790490556813
85,APB,7,0.002,1573885425.5687695,-53.178928832167614,-50.58451314227221,-51.134877246466715,-86.9693242454697,-87.78853407780588,-70.41133077380813
86,APB,7,0.004,368754718.4910154,-46.905680430692186,-44.28261323670196,-44.83257930918918,-80.66696815078987,-81.48617806970073,-64.10897945996051
87,APB,7,0.006,178011955.0560362,-43.77174429408437,-41.119420934650684,-41.85663555464732,-77.50408469947395,-78.32329463439059,-60.94608751405586
88,APB,7,0.008,90008887.2814383,-40.72339441297953,-38.158016530311684,-38.708257487886144,-74.54243974296855,-75.3616507669914,-57.984481465039714
89,APB,7,0.01,63344403.53826632,-39.16842154972346,-36.632709083470814,-37.18261966008492,-73.01667978638692,-73.83588875545833,-56.458682779608544
90,APB,8,0.002,1986986888.9378252,-53.455386943093586,-50.90756170012835,-51.30441771890263,-87.32805421196028,-87.74767920711747,-74.35009486449418
91,APB,8,0.004,501256022.90105397,-47.50448001066526,-44.9262492743364,-45.323102274804455,-81.34669995259715,-81.76632586173737,-68.36874036004404
92,APB,8,0.006,227684081.79492253,-44.077261461136345,-41.48267281297742,-41.89407354142464,-77.91943775773157,-78.33906216083678,-64.94147107339549
93,APB,8,0.008,125301188.16631481,-41.483461542680814,-39.03725333784312,-39.30793843748093,-75.32565556011373,-75.74528065104766,-62.34771742791828
94,APB,8,0.01,82971973.95393763,-39.69325384233453,-37.00444916827324,-37.5158641877032,-73.53542307363122,-73.9550449583173,-60.557484315251585
95,APB,9,0.002,2993378183.9969974,-53.4437286202633,-47.67646522526883,-50.848829758253345,-91.5934658378431,-91.79094379157598,-72.77562866699543
96,APB,9,0.004,750909883.8650513,-47.43805007627479,-41.65790132351801,-44.84316569376339,-85.58773096287354,-85.78520896058181,-66.7698902523056
97,APB,9,0.006,335964193.1340118,-43.97568921737927,-38.17811780893582,-41.655621600119105,-82.09477876114617,-82.29225664367172,-63.27695052090686
98,APB,9,0.008,187080744.86947793,-41.402524794790025,-35.63571688577361,-38.76288291979318,-79.55214422499861,-79.74962176583348,-60.73491114537468
99,APB,9,0.01,120023367.88231567,-39.47486336739306,-33.68984591412216,-36.695162754046684,-77.6245029648509,-77.82198076243232,-58.80667463134096
100,AFL,0,0.002,600866091.570096,-54.427522502730014,-46.86118976660695,-52.54725536417432,-83.14170497427125,-84.40712827535286,-63.37633175377099
101,AFL,0,0.004,143008804.05758825,-48.25088078629487,-40.62733235662725,-46.314032679134556,-76.90754210434466,-78.17296892197947,-57.142171151251944
102,AFL,0,0.006,66383384.956973955,-44.88912931049643,-39.46376475405866,-42.98119140331118,-73.57446868747837,-74.83990545675925,-53.809101206359344
103,AFL,0,0.008,36330596.091058575,-42.24255745955699,-34.5522941499539,-40.36221289394024,-70.95670242706608,-72.22211337936288,-51.191331785671466
104,AFL,0,0.01,22949101.60751075,-40.27618203032745,-34.74266069314505,-38.36751540402729,-68.9616054877917,-70.22702362471959,-49.19624160261201
105,AFL,1,0.002,408392980.05188996,-53.77439543845172,-44.72851311389487,-51.6882104276225,-80.28446351780273,-81.79494601475034,-61.81985950833418
106,AFL,1,0.004,97731193.38272043,-47.53631557557233,-38.51116309924714,-45.47780471422244,-74.0740125669304,-75.58449514460274,-55.60941149935844
107,AFL,1,0.006,45583643.29324541,-44.25164772124529,-35.20876808776174,-42.165626933389504,-70.76176933899475,-72.27225236494237,-52.297171605842
108,AFL,1,0.008,27570828.367964245,-42.068094462452954,-33.01345300154289,-39.98211901115038,-68.57818712693779,-70.0886672227467,-50.1136021425274
109,AFL,1,0.01,18119196.973309364,-40.24525542014234,-31.206241800680733,-38.15991393937121,-66.7550613292679,-68.26554643686059,-48.29045858404312
110,AFL,2,0.002,561679935.0006247,-55.387425866805195,-50.131395066814534,-52.51662438316684,-82.64234812631648,-83.51926712371942,-61.84781591625443
111,AFL,2,0.004,142413291.14222223,-49.428077129859595,-44.17207695617147,-46.55727465269206,-76.68292823926888,-77.55985371280606,-55.888411469089704
112,AFL,2,0.006,57051059.38064156,-45.4283841338235,-40.19934229708348,-42.584477872438164,-72.71006413893966,-73.58698891561215,-51.91552517549924
113,AFL,2,0.008,35099991.30569579,-43.34599222630972,-38.090065718632104,-40.47498859521072,-70.60050743733836,-71.47742996988208,-49.805969606652454
114,AFL,2,0.01,22080002.22953176,-41.25320671326968,-36.03994391815567,-38.459074959677096,-68.58752530731799,-69.46443092763012,-47.79303002568494
115,AFL,3,0.002,1061746190.0556515,-54.665135742824916,-50.347544142649184,-52.642753600780324,-84.44249060449984,-85.429105623759,-63.78326520279053
116,AFL,3,0.004,233733149.1239187,-48.09205843077073,-43.77462743213961,-46.07069171640979,-77.86948571081511,-78.85610092982562,-57.21026507843205
117,AFL,3,0.006,104240034.39034867,-44.614645022094564,-39.89890089106329,-42.563916196776724,-74.36262646568439,-75.34924198534218,-53.703403088752346
118,AFL,3,0.008,57694048.21816178,-42.01630427296831,-37.69902883969759,-39.99496220126836,-71.79359933522619,-72.78021275530276,-51.134358310898676
119,AFL,3,0.01,39123419.9777925,-40.32937493964507,-35.64513837008787,-38.30810447610383,-70.10665559095165,-71.09326908972444,-49.4474305542338
120,AFL,4,0.002,880462589.0044903,-54.88459082037824,-44.91408523725745,-52.79346741349393,-84.47341563938724,-85.15210840886107,-64.16163725237581
121,AFL,4,0.004,191672417.42705628,-48.26307682001914,-38.292959524484715,-46.17200032866581,-77.8519036328086,-78.53059630967793,-57.54012998566614
122,AFL,4,0.006,92906009.10170653,-45.118046010051444,-35.203984620702734,-43.026915019754256,-74.70674851770762,-75.385440825893,-54.39498443341457
123,AFL,4,0.008,50369955.77676394,-42.42826108960963,-32.573602825681924,-40.36753886061046,-72.04802325858019,-72.72671589465563,-51.736252553422624
124,AFL,4,0.01,32414154.465254422,-40.54487799987519,-30.59122496623265,-38.45412217935226,-70.13365675969791,-70.81234895102747,-49.821882593051654
125,AFL,5,0.002,1043171457.8142184,-55.557821837673735,-46.72460329093407,-53.041021450292085,-84.63875559000586,-85.62998286584738,-64.32593512911293
126,AFL,5,0.004,222724945.88043526,-48.85193178194481,-39.937630900585816,-46.33516534929056,-77.9328905926804,-78.92411718588039,-57.620066159816965
127,AFL,5,0.006,105317773.24471004,-45.51768713408016,-36.72971976640418,-43.08255426866214,-74.68021812389948,-75.67144482412365,-54.370352715321445
128,AFL,5,0.008,60815042.24557593,-43.21446551130556,-34.140332927871064,-40.69651643155028,-72.29531325256693,-73.2865396073395,-51.985452001476126
129,AFL,5,0.01,35476305.644491054,-40.87375092308834,-32.042738937382296,-38.3571805194179,-69.95458267558557,-70.94580991360891,-49.64472751407104
130,AFL,6,0.002,633625843.398077,-54.67506084356532,-39.82975315889095,-52.47388983114938,-81.93177086940024,-82.93006361427635,-63.93077844322314
131,AFL,6,0.004,168394324.53244063,-48.978779025425254,-34.00115492644693,-46.71888567297465,-76.17672108611208,-77.17501077402164,-58.17571412844376
132,AFL,6,0.006,70540026.35998979,-45.170512223316514,-30.278817865942358,-42.940068188216706,-72.3978115546164,-73.39610080100856,-54.396784123400636
133,AFL,6,0.008,43292038.33274365,-43.195059075273804,-28.09147139976751,-40.81982312923316,-70.2775219604379,-71.27581598858252,-52.276531561696125
134,AFL,6,0.01,26573842.280785285,-40.901423670608644,-26.231348358289054,-38.70034353161983,-68.15799483227586,-69.15628119921799,-50.15703123857019
135,AFL,7,0.002,953180583.7959605,-55.04825949396643,-47.2244868067706,-53.125804258455204,-84.88131353874007,-85.69720483106886,-63.219115560529886
136,AFL,7,0.004,233598424.02232444,-48.941233634114894,-40.96050024765104,-47.018774135074544,-78.77425997593657,-79.59015164684781,-57.11206449126253
137,AFL,7,0.006,102272162.881062,-45.35409850464373,-37.56997889973315,-43.431719682136496,-75.18713533690602,-76.00302690061503,-53.524938572088494
138,AFL,7,0.008,60925946.965549044,-43.10461113009985,-35.28157674055822,-41.182229973391706,-72.93759058940579,-73.75347847649351,-51.27539356684128
139,AFL,7,0.01,38967659.96026166,-41.16364806308968,-33.22427131179539,-39.24053287900104,-70.99660610591498,-71.81249624998874,-49.33441688093944
140,AFL,8,0.002,1055838301.9275527,-54.47671218324821,-49.83996854179132,-52.341569434304475,-85.87821200988915,-86.78521381932543,-63.64340690005663
141,AFL,8,0.004,261389039.1453134,-48.498176545983675,-43.776854667956194,-46.2782532984325,-79.81510652841722,-80.72210928255615,-57.58030335776756
142,AFL,8,0.006,112601478.7375079,-44.81238958252389,-40.119633870424096,-42.62117577095199,-76.157683616327,-77.06468444331553,-53.9228793751247
143,AFL,8,0.008,63936556.21380718,-42.26992061208777,-37.663480210084046,-40.16356970196785,-73.69971706338572,-74.60672145286507,-51.464917370770316
